Seconds, instMass, instFuel, Acceleration, Velocity, Height, Gravitational Acceleration
0.000000, 100100.000000, 100.000000, 9.990010, 0.000000, 0.000000, 9.826109 
1.000000, 100098.500000, 98.500000, 9.990160, 9.990010, 4.995005, 9.826094 
2.000000, 100097.000000, 97.000000, 9.990310, 19.980171, 19.980095, 9.826047 
3.000000, 100095.500000, 95.500000, 9.990459, 29.970482, 44.955421, 9.825971 
4.000000, 100094.000000, 94.000000, 9.990609, 39.960941, 79.921135, 9.825862 
5.000000, 100092.500000, 92.500000, 9.990759, 49.951550, 124.877388, 9.825724 
6.000000, 100091.000000, 91.000000, 9.990909, 59.942307, 179.824310, 9.825554 
7.000000, 100089.500000, 89.500000, 9.991058, 69.933212, 244.762070, 9.825353 
8.000000, 100088.000000, 88.000000, 9.991208, 79.924271, 319.690796, 9.825124 
9.000000, 100086.500000, 86.500000, 9.991358, 89.915482, 404.610657, 9.824862 
10.000000, 100085.000000, 85.000000, 9.991508, 99.906837, 499.521790, 9.824568 
11.000000, 100083.500000, 83.500000, 9.991657, 109.898346, 604.424377, 9.824244 
12.000000, 100082.000000, 82.000000, 9.991807, 119.889999, 719.318604, 9.823890 
13.000000, 100080.500000, 80.500000, 9.991957, 129.881805, 844.204529, 9.823506 
14.000000, 100079.000000, 79.000000, 9.992106, 139.873764, 979.082275, 9.823090 
15.000000, 100077.500000, 77.500000, 9.992256, 149.865875, 1123.952148, 9.822643 
16.000000, 100076.000000, 76.000000, 9.992406, 159.858124, 1278.814087, 9.822165 
17.000000, 100074.500000, 74.500000, 9.992556, 169.850525, 1443.668457, 9.821658 
18.000000, 100073.000000, 73.000000, 9.992705, 179.843079, 1618.515381, 9.821118 
19.000000, 100071.500000, 71.500000, 9.992855, 189.835785, 1803.354736, 9.820548 
20.000000, 100070.000000, 70.000000, 9.993005, 199.828644, 1998.187012, 9.819949 
21.000000, 100068.500000, 68.500000, 9.993155, 209.821655, 2203.012207, 9.819317 
22.000000, 100067.000000, 67.000000, 9.993304, 219.814804, 2417.830566, 9.818654 
23.000000, 100065.500000, 65.500000, 9.993454, 229.808105, 2642.641846, 9.817963 
24.000000, 100064.000000, 64.000000, 9.993604, 239.801559, 2877.446777, 9.817240 
