Seconds, instMass, instFuel, Acceleration, Velocity, Height, Gravitational Acceleration
0.000000, 5100.000000, 100.000000, 9.781734, 0.000000, 0.000000, 9.826109 
1.000000, 5098.500000, 98.500000, 9.634452, 9.781734, 4.890867, 9.826094 
2.000000, 5097.000000, 97.000000, 9.190362, 19.416187, 19.489828, 9.826049 
3.000000, 5095.500000, 95.500000, 8.491747, 28.606548, 43.501194, 9.825974 
4.000000, 5094.000000, 94.000000, 7.610616, 37.098297, 76.353615, 9.825872 
5.000000, 5092.500000, 92.500000, 6.632896, 44.708912, 117.257217, 9.825747 
6.000000, 5091.000000, 91.000000, 5.641101, 51.341808, 165.282578, 9.825599 
7.000000, 5089.500000, 89.500000, 4.701214, 56.982910, 219.444946, 9.825432 
8.000000, 5088.000000, 88.000000, 3.856685, 61.684124, 278.778473, 9.825248 
9.000000, 5086.500000, 86.500000, 3.129005, 65.540810, 342.390930, 9.825052 
10.000000, 5085.000000, 85.000000, 2.522338, 68.669815, 409.496246, 9.824845 
11.000000, 5083.500000, 83.500000, 2.029397, 71.192154, 479.427246, 9.824630 
12.000000, 5082.000000, 82.000000, 1.636759, 73.221550, 551.634094, 9.824409 
13.000000, 5080.500000, 80.500000, 1.328775, 74.858307, 625.674011, 9.824180 
14.000000, 5079.000000, 79.000000, 1.090028, 76.187080, 701.196716, 9.823947 
15.000000, 5077.500000, 77.500000, 0.906643, 77.277107, 777.928833, 9.823709 
16.000000, 5076.000000, 76.000000, 0.766802, 78.183754, 855.659241, 9.823470 
17.000000, 5074.500000, 74.500000, 0.660802, 78.950554, 934.226440, 9.823229 
18.000000, 5073.000000, 73.000000, 0.580888, 79.611359, 1013.507385, 9.822984 
19.000000, 5071.500000, 71.500000, 0.520952, 80.192245, 1093.409180, 9.822737 
20.000000, 5070.000000, 70.000000, 0.476256, 80.713196, 1173.861938, 9.822489 
21.000000, 5068.500000, 68.500000, 0.443152, 81.189453, 1254.813354, 9.822239 
22.000000, 5067.000000, 67.000000, 0.418853, 81.632607, 1336.224365, 9.821988 
23.000000, 5065.500000, 65.500000, 0.401236, 82.051460, 1418.066406, 9.821735 
24.000000, 5064.000000, 64.000000, 0.388689, 82.452698, 1500.318481, 9.821482 
25.000000, 5062.500000, 62.500000, 0.379990, 82.841385, 1582.965576, 9.821228 
26.000000, 5061.000000, 61.000000, 0.374220, 83.221375, 1665.996948, 9.820972 
27.000000, 5059.500000, 59.500000, 0.370676, 83.595596, 1749.405396, 9.820715 
28.000000, 5058.000000, 58.000000, 0.368835, 83.966270, 1833.186279, 9.820457 
29.000000, 5056.500000, 56.500000, 0.368298, 84.335106, 1917.337036, 9.820196 
30.000000, 5055.000000, 55.000000, 0.368758, 84.703407, 2001.856323, 9.819937 
31.000000, 5053.500000, 53.500000, 0.369996, 85.072166, 2086.744141, 9.819675 
32.000000, 5052.000000, 52.000000, 0.371835, 85.442162, 2172.001465, 9.819412 
33.000000, 5050.500000, 50.500000, 0.374146, 85.813995, 2257.629639, 9.819149 
34.000000, 5049.000000, 49.000000, 0.376834, 86.188141, 2343.630615, 9.818884 
35.000000, 5047.500000, 47.500000, 0.379821, 86.564972, 2430.007324, 9.818617 
36.000000, 5046.000000, 46.000000, 0.383050, 86.944794, 2516.762207, 9.818350 
37.000000, 5044.500000, 44.500000, 0.386482, 87.327843, 2603.898438, 9.818082 
38.000000, 5043.000000, 43.000000, 0.390084, 87.714325, 2691.419678, 9.817811 
39.000000, 5041.500000, 41.500000, 0.393830, 88.104408, 2779.329102, 9.817541 
40.000000, 5040.000000, 40.000000, 0.397704, 88.498238, 2867.630615, 9.817269 
41.000000, 5038.500000, 38.500000, 0.401695, 88.895943, 2956.327637, 9.816996 
42.000000, 5037.000000, 37.000000, 0.405789, 89.297638, 3045.424561, 9.816721 
43.000000, 5035.500000, 35.500000, 0.409981, 89.703430, 3134.925049, 9.816445 
44.000000, 5034.000000, 34.000000, 0.414267, 90.113411, 3224.833496, 9.816169 
45.000000, 5032.500000, 32.500000, 0.418641, 90.527679, 3315.154053, 9.815891 
46.000000, 5031.000000, 31.000000, 0.423103, 90.946320, 3405.890869, 9.815611 
47.000000, 5029.500000, 29.500000, 0.427648, 91.369423, 3497.048828, 9.815331 
48.000000, 5028.000000, 28.000000, 0.432281, 91.797073, 3588.632080, 9.815049 
49.000000, 5026.500000, 26.500000, 0.436998, 92.229355, 3680.645264, 9.814766 
50.000000, 5025.000000, 25.000000, 0.441803, 92.666351, 3773.093018, 9.814481 
51.000000, 5023.500000, 23.500000, 0.446693, 93.108154, 3865.980225, 9.814194 
52.000000, 5022.000000, 22.000000, 0.451670, 93.554848, 3959.311768, 9.813907 
53.000000, 5020.500000, 20.500000, 0.456734, 94.006516, 4053.092529, 9.813619 
54.000000, 5019.000000, 19.000000, 0.461890, 94.463249, 4147.327637, 9.813328 
55.000000, 5017.500000, 17.500000, 0.467140, 94.925140, 4242.021973, 9.813036 
