Seconds, instWeight, Thrust, Air Resistance, density
0.000000, 50113.156250, 100000.000000, 0.000000, 1.227520 
1.000000, 50098.339844, 100000.000000, 780.405151, 1.227520 
2.000000, 50083.371094, 100000.000000, 3073.355225, 1.226945 
3.000000, 50068.253906, 100000.000000, 6662.049805, 1.225229 
4.000000, 50052.992188, 100000.000000, 11178.531250, 1.222410 
5.000000, 50037.613281, 100000.000000, 16184.364258, 1.218562 
6.000000, 50022.125000, 100000.000000, 21259.031250, 1.213784 
7.000000, 50006.535156, 100000.000000, 26066.634766, 1.208192 
8.000000, 49990.859375, 100000.000000, 30386.328125, 1.201909 
9.000000, 49975.128906, 100000.000000, 34109.187500, 1.195055 
10.000000, 49959.339844, 100000.000000, 37214.570312, 1.187740 
11.000000, 49943.503906, 100000.000000, 39740.054688, 1.180061 
12.000000, 49927.644531, 100000.000000, 41754.347656, 1.172098 
13.000000, 49911.746094, 100000.000000, 43337.410156, 1.163920 
14.000000, 49895.828125, 100000.000000, 44567.917969, 1.155579 
15.000000, 49879.886719, 100000.000000, 45516.632812, 1.147119 
16.000000, 49863.933594, 100000.000000, 46243.781250, 1.138572 
17.000000, 49847.976562, 100000.000000, 46798.781250, 1.129963 
18.000000, 49831.996094, 100000.000000, 47221.160156, 1.121313 
19.000000, 49816.007812, 100000.000000, 47541.984375, 1.112635 
20.000000, 49800.019531, 100000.000000, 47785.363281, 1.103941 
21.000000, 49784.019531, 100000.000000, 47969.863281, 1.095240 
22.000000, 49768.015625, 100000.000000, 48109.656250, 1.086538 
23.000000, 49752.000000, 100000.000000, 48215.539062, 1.077841 
24.000000, 49735.984375, 100000.000000, 48295.695312, 1.069150 
25.000000, 49719.968750, 100000.000000, 48356.332031, 1.060471 
26.000000, 49703.941406, 100000.000000, 48402.128906, 1.051804 
27.000000, 49687.906250, 100000.000000, 48436.656250, 1.043152 
28.000000, 49671.875000, 100000.000000, 48462.558594, 1.034515 
29.000000, 49655.820312, 100000.000000, 48481.882812, 1.025895 
30.000000, 49639.781250, 100000.000000, 48496.144531, 1.017292 
31.000000, 49623.730469, 100000.000000, 48506.496094, 1.008707 
32.000000, 49607.671875, 100000.000000, 48513.816406, 1.000141 
33.000000, 49591.613281, 100000.000000, 48518.761719, 0.991593 
34.000000, 49575.542969, 100000.000000, 48521.820312, 0.983065 
35.000000, 49559.468750, 100000.000000, 48523.382812, 0.974556 
36.000000, 49543.394531, 100000.000000, 48523.734375, 0.966067 
37.000000, 49527.312500, 100000.000000, 48523.078125, 0.957598 
38.000000, 49511.222656, 100000.000000, 48521.582031, 0.949148 
39.000000, 49495.132812, 100000.000000, 48519.375000, 0.940719 
40.000000, 49479.039062, 100000.000000, 48516.531250, 0.932311 
